"","Nombre","País","Pies","GLA","MLA","SLA","GLO","MLO","SLO"
"2","Nevado Ojos del Salado"," Argentina Chile","22608","27","06","35","68","32","29"
"3","Monte Pissis"," Argentina","22293","27","45","16.6","68","47","55.8"
"4","Cerro Bonete Chico"," Argentina","22175","27","52","0","68","49","0"
"5","Nevado Tres Cruces Sur"," Argentina Chile","22139","27","05","53","68","46","41"
"6","Volcán Llullaillaco"," Argentina Chile","22109","24","43","47","68","32","45"
"7","Volcán Walther Penck"," Argentina","21843","27","12","0","68","33","0"
"8","Volcán Incahuasi"," Argentina Chile","21778","27","02","0","68","18","0"
"9","Nevado Tres Cruces Central"," Argentina Chile","21749","27","04","07","68","47","11"
"10","Volcán Tupungato"," Argentina Chile","21555","33","21","21","69","46","10.2"
"11","Nevado Sajama"," Bolivia","21463","18","06","14","68","52","53"
"12","Volcán Ata"," Argentina Chile","21328","27","10","55","68","34","34"
