"","year","carrier","salida","llegada","dif"
"1",2013,"WN",21:00:00,21:00:00,0
"2",2013,"B6",23:00:00,23:59:00,59
"3",2013,"B6",23:00:00,23:59:00,59
"4",2013,"B6",22:00:00,22:50:00,50
"5",2013,"B6",21:00:00,21:54:00,54
"6",2013,"EV",21:00:00,21:59:00,59
"7",2013,"B6",22:00:00,22:49:00,49
"8",2013,"B6",22:00:00,22:50:00,50
"9",2013,"US",05:00:00,05:00:00,0
"10",2013,"UA",05:00:00,05:25:00,25
"11",2013,"UA",05:00:00,05:30:00,30
"12",2013,"B6",05:00:00,05:40:00,40
"13",2013,"AA",05:00:00,05:40:00,40
"14",2013,"B6",06:00:00,06:00:00,0
"15",2013,"FL",06:00:00,06:00:00,0
"16",2013,"AA",06:00:00,06:00:00,0
"17",2013,"AA",06:00:00,06:00:00,0
"18",2013,"DL",06:00:00,06:00:00,0
"19",2013,"DL",06:00:00,06:00:00,0
"20",2013,"B6",06:00:00,06:00:00,0
"21",2013,"B6",06:00:00,06:00:00,0
"22",2013,"MQ",06:00:00,06:00:00,0
"23",2013,"EV",06:00:00,06:01:00,1
"24",2013,"UA",06:00:00,06:01:00,1
"25",2013,"EV",06:00:00,06:00:00,0
"26",2013,"US",06:00:00,06:00:00,0
"27",2013,"B6",06:00:00,06:00:00,0
"28",2013,"US",06:00:00,06:00:00,0
"29",2013,"UA",06:00:00,06:00:00,0
"30",2013,"AA",06:00:00,06:10:00,10
"31",2013,"WN",06:00:00,06:00:00,0
"32",2013,"B6",06:00:00,06:00:00,0
"33",2013,"MQ",06:00:00,06:05:00,5
"34",2013,"EV",06:00:00,06:07:00,7
"35",2013,"DL",06:00:00,06:10:00,10
"36",2013,"UA",06:00:00,06:08:00,8
"37",2013,"AA",06:00:00,06:10:00,10
"38",2013,"B6",06:00:00,06:10:00,10
"39",2013,"MQ",06:00:00,06:15:00,15
"40",2013,"B6",06:00:00,06:10:00,10
"41",2013,"WN",06:00:00,06:10:00,10
"42",2013,"UA",06:00:00,06:08:00,8
"43",2013,"DL",06:00:00,06:15:00,15
"44",2013,"9E",06:00:00,06:15:00,15
"45",2013,"US",06:00:00,06:30:00,30
"46",2013,"B6",06:00:00,06:25:00,25
"47",2013,"WN",06:00:00,06:25:00,25
"48",2013,"MQ",06:00:00,06:30:00,30
"49",2013,"AA",06:00:00,06:30:00,30
"50",2013,"B6",06:00:00,06:30:00,30
"51",2013,"B6",06:00:00,06:30:00,30
"52",2013,"DL",06:00:00,06:30:00,30
"53",2013,"EV",06:00:00,06:33:00,33
"54",2013,"AA",06:00:00,06:35:00,35
"55",2013,"MQ",06:00:00,06:30:00,30
"56",2013,"WN",06:00:00,06:30:00,30
"57",2013,"B6",06:00:00,06:31:00,31
"58",2013,"B6",06:00:00,06:35:00,35
"59",2013,"AA",06:00:00,06:30:00,30
"60",2013,"UA",06:00:00,06:39:00,39
"61",2013,"EV",06:00:00,06:40:00,40
"62",2013,"UA",06:00:00,06:35:00,35
"63",2013,"B6",06:00:00,06:45:00,45
"64",2013,"UA",06:00:00,06:36:00,36
"65",2013,"US",06:00:00,06:45:00,45
"66",2013,"EV",06:00:00,06:45:00,45
"67",2013,"EV",06:00:00,06:36:00,36
"68",2013,"UA",06:00:00,06:45:00,45
"69",2013,"UA",06:00:00,06:35:00,35
"70",2013,"DL",06:00:00,06:55:00,55
"71",2013,"AA",07:00:00,07:00:00,0
"72",2013,"UA",06:00:00,06:34:00,34
"73",2013,"B6",06:00:00,06:55:00,55
"74",2013,"DL",07:00:00,07:00:00,0
"75",2013,"DL",07:00:00,07:00:00,0
"76",2013,"DL",07:00:00,07:00:00,0
"77",2013,"UA",07:00:00,07:00:00,0
"78",2013,"UA",06:00:00,06:54:00,54
"79",2013,"DL",07:00:00,07:00:00,0
"80",2013,"B6",07:00:00,07:00:00,0
